Ref,Val,Package,PosX,PosY,Rot,Side
"A1","модуль_esp32_wrover_OR_wroom32_SMD","ESP32_WROVER_or_WROOM32_pnp",19.250000,70.750000,90.000000,top
"C1","Конденсатор_керамический","Конденсатор_SMD_0603_pnp",55.250000,72.625000,270.000000,top
"C2","Конденсатор_К53-56А-32В-22_мкФ+-10проц.","Конденсатор_тантал_SMD_m7343_pnp",67.875000,79.000000,0.000000,top
"C3","Конденсатор_керамический","Конденсатор_SMD_0603_pnp",19.125000,52.750000,0.000000,top
"C4","Конденсатор_керамический","Конденсатор_SMD_0603_pnp",28.625000,86.500000,0.000000,top
"C5","Конденсатор_керамический","Конденсатор_SMD_0603_pnp",56.500000,79.875000,270.000000,top
"C6","Конденсатор_керамический","Конденсатор_SMD_0603_pnp",68.750000,72.625000,270.000000,top
"C7","Конденсатор_керамический","Конденсатор_SMD_1210_pnp",95.500000,22.500000,90.000000,top
"C8","Конденсатор_керамический","Конденсатор_SMD_0603_pnp",14.500000,24.125000,270.000000,top
"C9","Конденсатор_керамический","Конденсатор_SMD_0603_pnp",10.875000,55.500000,180.000000,top
"C10","Конденсатор_керамический","Конденсатор_SMD_0603_pnp",37.500000,15.375000,270.000000,top
"C11","Конденсатор_керамический","Конденсатор_SMD_0603_pnp",27.625000,21.000000,0.000000,top
"DD1","Повторитель_M74VHC1GT125","SOT-23-5_pnp",59.700000,72.800000,90.000000,top
"G2","стабилизатор_нерегулируемый_LM1117GS-3.3","Транзистор_NPN_SOT223_pnp",14.250000,32.400000,0.000000,top
"R1","Резистор_0,065Вт","Резистор_SMD_0603_0,065_Вт_pnp",76.250000,66.125000,270.000000,top
"R2","Резистор_0,065Вт","Резистор_SMD_0603_0,065_Вт_pnp",80.375000,65.750000,0.000000,top
"R3","Резистор_0,065Вт","Резистор_SMD_0603_0,065_Вт_pnp",76.250000,70.375000,270.000000,top
"R4","Резистор_0,5Вт","Резистор_SMD_2010-0,5_Вт_pnp",86.750000,61.000000,0.000000,top
"R5","Резистор_0,065Вт","Резистор_SMD_0603_0,065_Вт_pnp",48.000000,77.875000,90.000000,top
"R6","Резистор_0,065Вт","Резистор_SMD_0603_0,065_Вт_pnp",42.125000,6.250000,0.000000,top
"R7","Резистор_0,065Вт","Резистор_SMD_0603_0,065_Вт_pnp",33.750000,6.250000,0.000000,top
"R8","Резистор_0,065Вт","Резистор_SMD_0603_0,065_Вт_pnp",30.125000,6.250000,0.000000,top
"R9","Резистор_0,065Вт","Резистор_SMD_0603_0,065_Вт_pnp",26.625000,6.250000,0.000000,top
"R10","Резистор_0,065Вт","Резистор_SMD_0603_0,065_Вт_pnp",22.125000,6.250000,0.000000,top
"R11","Резистор_0,065Вт","Резистор_SMD_0603_0,065_Вт_pnp",60.500000,8.375000,90.000000,top
"R12","Резистор_0,065Вт","Резистор_SMD_0603_0,065_Вт_pnp",67.500000,66.625000,270.000000,top
"R13","Резистор_0,065Вт","Резистор_SMD_0603_0,065_Вт_pnp",56.000000,48.625000,90.000000,top
"R14","Резистор_0,065Вт","Резистор_SMD_0603_0,065_Вт_pnp",64.625000,4.500000,0.000000,top
"R15","Резистор_0,065Вт","Резистор_SMD_0603_0,065_Вт_pnp",71.625000,65.750000,0.000000,top
"R16","Резистор_0,065Вт","Резистор_SMD_0603_0,065_Вт_pnp",60.125000,44.750000,0.000000,top
"R17","Резистор_0,25Вт","Резистор_SMD_1206-0,25_Вт_pnp",67.000000,46.750000,90.000000,top
"R18","Резистор_0,065Вт","Резистор_SMD_0603_0,065_Вт_pnp",14.875000,55.500000,0.000000,top
"R19","Резистор_0,065Вт","Резистор_SMD_0603_0,065_Вт_pnp",51.500000,79.875000,270.000000,top
"R20","Резистор_0,065Вт","Резистор_SMD_0603_0,065_Вт_pnp",63.750000,72.625000,270.000000,top
"R21","Резистор_0,065Вт","Резистор_SMD_0603_0,065_Вт_pnp",24.625000,83.500000,0.000000,top
"R22","Резистор_0,065Вт","Резистор_SMD_0603_0,065_Вт_pnp",54.000000,79.875000,270.000000,top
"R23","Резистор_0,065Вт","Резистор_SMD_0603_0,065_Вт_pnp",66.250000,72.625000,270.000000,top
"R24","Резистор_0,065Вт","Резистор_SMD_0603_0,065_Вт_pnp",19.125000,55.500000,180.000000,top
"R25","Резистор_0,065Вт","Резистор_SMD_0603_0,065_Вт_pnp",24.625000,86.500000,0.000000,top
"RP1","Резистор_подстроечный_PVA3A103","резистор_подстроечный_3314J-1_pnp",2.750000,17.600000,90.000000,top
"VD1","Диод_шоттки_SK16","Диод_SMB_pnp",81.625000,79.000000,0.000000,top
"VD2","Набор_диодов_BAR43CFILM","Корпус_КТ-46_pnp",19.250000,46.250000,270.000000,top
"VT1","Транзистор_полевой_N-канальный_IRLML6344TR","Корпус_КТ-46_pnp",80.250000,70.000000,90.000000,top
"VT2","Транзистор_полевой_N-канальный_IRLML6344TR","Корпус_КТ-46_pnp",64.500000,8.750000,90.000000,top
"VT3","Транзистор_полевой_N-канальный_IRLML6344TR","Корпус_КТ-46_pnp",71.500000,70.000000,90.000000,top
"VT4","Транзистор_полевой_N-канальный_IRLML6344TR","Корпус_КТ-46_pnp",60.000000,49.000000,90.000000,top
